epoch,global_step,train_loss,train_accuracy,train_correct,train_count,train_batches,train_last_batch_size,train_order_sha256,train_seconds,data_wait_seconds,train_samples_per_second,val_loss,val_accuracy,val_correct,val_count,validation_seconds,gpu_peak_allocated_mib
1,352,1.829941571299235,0.3193111111111111,14369,45000,352,72,60f10e313c67cc20794245ee94ebbf199b308091dbbb49a63ac7f1241f19860b,14.886392451822758,6.411455975845456,3022.8949119563213,1.6461446338653565,0.3858,1929,5000,0.733524942304939,381.35205078125
2,704,1.5179136674880982,0.44508888888888887,20029,45000,352,72,b60e2117a5b078fd2b027d1a452de8eefdd6c6ee46afff40e4cec7f25e535889,14.619776570703834,6.470698457676917,3078.0224158947995,1.4216995752334596,0.485,2425,5000,0.7783644362352788,381.35205078125
3,1056,1.3619949143303764,0.5079111111111111,22856,45000,352,72,b90093433c6cbe7a00d45f5338c76bc420d7ef141f35a1589661584ed58b602e,14.819019433110952,6.5809237184002995,3036.6381664534442,1.3596413120269775,0.5162,2581,5000,0.7226313082501292,381.35205078125
4,1408,1.28017590836419,0.5367555555555555,24154,45000,352,72,037d619203311b6c065730ad06df8c834a7ebfd7d6dc195b92de43f7a4c7b6aa,14.57655141595751,6.4131478988565505,3087.1499517188113,1.2873294761657714,0.5414,2707,5000,0.7207682877779007,381.35205078125
5,1760,1.210409950743781,0.5634666666666667,25356,45000,352,72,048131b9f90735fbb1cfa46d04e425be22a9fa64aaaad8b741012a4f32acd290,14.32521594595164,6.477266013156623,3141.313901988135,1.2634485397338868,0.5536,2768,5000,0.7255496298894286,381.35205078125
6,2112,1.1532206621276009,0.5837111111111111,26267,45000,352,72,5d35baaa1a194f69e46c232df7d09e107c42a3aa55582385b3b501c6f3a8b4b4,14.79032440111041,6.402530804276466,3042.529614605447,1.1643376178741456,0.5798,2899,5000,0.7330301511101425,381.35205078125
7,2464,1.109873218705919,0.5996888888888889,26986,45000,352,72,49aee6b8010f31b5ed578c72e636fdb38ae4b66b34b73db8c3082f4422034191,14.85829771310091,6.420227953698486,3028.6107378453216,1.1667517707824706,0.5886,2943,5000,0.7316605821251869,381.35205078125
8,2816,1.071276303715176,0.6146,27657,45000,352,72,98e1755fa3be40bc4734c81cf6303fb23d84ac501d05fc046719ef8d5d0947a3,14.650078412145376,6.408822906669229,3071.6559143255904,1.1154316776275635,0.6064,3032,5000,0.7218044199980795,381.35205078125
9,3168,1.0342337829271953,0.6275333333333334,28239,45000,352,72,46a14d7d62aa557fc1cef52d1ae38497509fb6877588ce2509850a12acc96a72,14.559687763918191,6.382808979600668,3090.7256206083603,1.1109124435424804,0.6046,3023,5000,0.7222478929907084,381.35205078125
10,3520,0.9982730446921455,0.6403333333333333,28815,45000,352,72,03271a4cdbefbe302a0d9b437f3685eef882880fa65ca51439236a730c1317b5,14.588834163267165,6.392749682068825,3084.550793873872,1.11656544380188,0.6068,3034,5000,0.7224885746836662,381.35205078125
11,3872,0.9684451917012532,0.6537555555555555,29419,45000,352,72,1ba7f7768c80ee7ae989232a409737692ae0f79c29cf130732d63aa2e8063181,14.555147452279925,6.418570184614509,3091.6897370868737,1.080169700050354,0.6172,3086,5000,0.7307371948845685,381.35205078125
12,4224,0.9460610584047106,0.6598222222222222,29692,45000,352,72,5fea496c002f8b111b063f6415f3716a1240a52be908ced8791aedd80fa74ab6,14.544509842991829,6.417552108876407,3093.9509468366814,1.0695839241027831,0.617,3085,5000,0.7283927411772311,381.35205078125
13,4576,0.9168400923622979,0.6717777777777778,30230,45000,352,72,349e82232685636a4b0cc9455bb3274e27b38d801c9e3ae7547858109721985d,14.526520266197622,6.418950213119388,3097.7824816527063,1.0396110099792482,0.633,3165,5000,0.7476462624035776,381.35205078125
14,4928,0.8922092995961507,0.6801555555555555,30607,45000,352,72,ea9e6b9dc62ccfe9fb81aef6f76dae09d5da4a0dc2842a7fb98a6514101004ca,14.593045679852366,6.438973045907915,3083.660600208253,1.0684369715690614,0.6194,3097,5000,0.7427658587694168,381.35205078125
15,5280,0.865268757449256,0.6884444444444444,30980,45000,352,72,daba243c86cbecd52ff3fe904e738db158388bf428a9ee994d2871c323da9ef6,14.563069458119571,6.430952033959329,3090.0079223965013,1.081517228126526,0.6214,3107,5000,0.7197479410097003,381.35205078125
16,5632,0.8346759371863471,0.6998666666666666,31494,45000,352,72,961f6f4208418edc8e60051d9a34bbad0aa5e81783a4e3c6470f1f7b44cafa6d,14.636504520196468,6.452812220901251,3074.5045675288025,1.05494465341568,0.6348,3174,5000,0.7202703412622213,381.35205078125
17,5984,0.8096546840031942,0.7105333333333334,31974,45000,352,72,0de6e24eabcb302375aaab386cc5308ecf5aebce13885468b69d2b18090ff05d,14.516823180019855,6.404656273778528,3099.8517679774104,1.0332084654808045,0.6406,3203,5000,0.7205318249762058,381.35205078125
18,6336,0.7829818880610996,0.7205111111111111,32423,45000,352,72,e6b4eb5a34e4a87802a01462529641ed8f581d44d341195ad5b58d0b35bb45aa,14.538641173392534,6.411807681899518,3095.1998514383467,1.042951271057129,0.638,3190,5000,0.718694340903312,381.35205078125
19,6688,0.7498947523646885,0.7314888888888889,32917,45000,352,72,ebf29b2fdde9d66da32fdfcf57377bf0f684d11b2b1002f5288009b6b9c84a89,14.514476120937616,6.3980272565968335,3100.3530285937086,1.0134517986297606,0.6558,3279,5000,0.7215714030899107,381.35205078125
20,7040,0.7260021905581157,0.7408666666666667,33339,45000,352,72,f028286c4a625787bb9b2d6ff77da2b92425d286a34d35b64d559b53c9878011,14.628863892052323,6.458281226921827,3076.110375491834,1.0203742973327636,0.6536,3268,5000,0.7209170311689377,381.35205078125
